entity_id,state,last_changed
sensor.ac_plug_voltaje,214.1,2025-08-01T11:08:31.001Z
sensor.ac_plug_voltaje,217.3,2025-08-01T11:09:16.076Z
sensor.ac_plug_voltaje,219.6,2025-08-01T11:10:44.238Z
sensor.ac_plug_voltaje,212.6,2025-08-01T11:10:55.230Z
sensor.ac_plug_voltaje,217.7,2025-08-01T11:13:30.359Z
sensor.ac_plug_voltaje,216.6,2025-08-01T11:14:59.543Z
sensor.ac_plug_voltaje,216.2,2025-08-01T11:20:10.015Z
sensor.ac_plug_voltaje,218.4,2025-08-01T11:20:55.033Z
sensor.ac_plug_voltaje,214.4,2025-08-01T11:21:15.845Z
sensor.ac_plug_voltaje,221.5,2025-08-01T11:21:39.081Z
sensor.ac_plug_voltaje,208.8,2025-08-01T11:22:45.176Z
sensor.ac_plug_voltaje,206.8,2025-08-01T11:27:33.394Z
sensor.ac_plug_voltaje,208.5,2025-08-01T11:29:12.356Z
sensor.ac_plug_voltaje,205.8,2025-08-01T11:31:03.646Z
sensor.ac_plug_voltaje,214.8,2025-08-01T11:32:54.579Z
sensor.ac_plug_voltaje,204.5,2025-08-01T11:33:16.779Z
sensor.ac_plug_voltaje,208.1,2025-08-01T11:34:33.631Z
sensor.ac_plug_voltaje,212.3,2025-08-01T11:34:44.761Z
sensor.ac_plug_voltaje,206.8,2025-08-01T11:36:35.930Z
sensor.ac_plug_voltaje,208.1,2025-08-01T11:38:37.973Z
sensor.ac_plug_voltaje,212.6,2025-08-01T11:38:48.965Z
